id,name,url,types,abilities,hp,attack,defense,special-attack,special-defense,speed
229,houndoom,https://pokeapi.co/api/v2/pokemon/229/,"dark, fire","early-bird, flash-fire, unnerve",75,90,50,110,80,95
230,kingdra,https://pokeapi.co/api/v2/pokemon/230/,"water, dragon","swift-swim, sniper, damp",75,95,95,95,95,85
231,phanpy,https://pokeapi.co/api/v2/pokemon/231/,ground,"pickup, sand-veil",90,60,60,40,40,40
232,donphan,https://pokeapi.co/api/v2/pokemon/232/,ground,"sturdy, sand-veil",90,120,120,60,60,50
233,porygon2,https://pokeapi.co/api/v2/pokemon/233/,normal,"trace, download, analytic",85,80,90,105,95,60
234,stantler,https://pokeapi.co/api/v2/pokemon/234/,normal,"intimidate, frisk, sap-sipper",73,95,62,85,65,85
235,smeargle,https://pokeapi.co/api/v2/pokemon/235/,normal,"own-tempo, technician, moody",55,20,35,20,45,75
236,tyrogue,https://pokeapi.co/api/v2/pokemon/236/,fighting,"guts, steadfast, vital-spirit",35,35,35,35,35,35
237,hitmontop,https://pokeapi.co/api/v2/pokemon/237/,fighting,"intimidate, technician, steadfast",50,95,95,35,110,70
238,smoochum,https://pokeapi.co/api/v2/pokemon/238/,"ice, psychic","oblivious, forewarn, hydration",45,30,15,85,65,65
239,elekid,https://pokeapi.co/api/v2/pokemon/239/,electric,"static, vital-spirit",45,63,37,65,55,95
240,magby,https://pokeapi.co/api/v2/pokemon/240/,fire,"flame-body, vital-spirit",45,75,37,70,55,83
241,miltank,https://pokeapi.co/api/v2/pokemon/241/,normal,"thick-fat, scrappy, sap-sipper",95,80,105,40,70,100
242,blissey,https://pokeapi.co/api/v2/pokemon/242/,normal,"natural-cure, serene-grace, healer",255,10,10,75,135,55
243,raikou,https://pokeapi.co/api/v2/pokemon/243/,electric,"pressure, inner-focus",90,85,75,115,100,115
244,entei,https://pokeapi.co/api/v2/pokemon/244/,fire,"pressure, inner-focus",115,115,85,90,75,100
245,suicune,https://pokeapi.co/api/v2/pokemon/245/,water,"pressure, inner-focus",100,75,115,90,115,85
246,larvitar,https://pokeapi.co/api/v2/pokemon/246/,"rock, ground","guts, sand-veil",50,64,50,45,50,41
247,pupitar,https://pokeapi.co/api/v2/pokemon/247/,"rock, ground",shed-skin,70,84,70,65,70,51
248,tyranitar,https://pokeapi.co/api/v2/pokemon/248/,"rock, dark","sand-stream, unnerve",100,134,110,95,100,61
249,lugia,https://pokeapi.co/api/v2/pokemon/249/,"psychic, flying","pressure, multiscale",106,90,130,90,154,110
250,ho-oh,https://pokeapi.co/api/v2/pokemon/250/,"fire, flying","pressure, regenerator",106,130,90,110,154,90
251,celebi,https://pokeapi.co/api/v2/pokemon/251/,"psychic, grass",natural-cure,100,100,100,100,100,100
252,treecko,https://pokeapi.co/api/v2/pokemon/252/,grass,"overgrow, unburden",40,45,35,65,55,70
253,grovyle,https://pokeapi.co/api/v2/pokemon/253/,grass,"overgrow, unburden",50,65,45,85,65,95
254,sceptile,https://pokeapi.co/api/v2/pokemon/254/,grass,"overgrow, unburden",70,85,65,105,85,120
255,torchic,https://pokeapi.co/api/v2/pokemon/255/,fire,"blaze, speed-boost",45,60,40,70,50,45
256,combusken,https://pokeapi.co/api/v2/pokemon/256/,"fire, fighting","blaze, speed-boost",60,85,60,85,60,55
257,blaziken,https://pokeapi.co/api/v2/pokemon/257/,"fire, fighting","blaze, speed-boost",80,120,70,110,70,80
258,mudkip,https://pokeapi.co/api/v2/pokemon/258/,water,"torrent, damp",50,70,50,50,50,40
259,marshtomp,https://pokeapi.co/api/v2/pokemon/259/,"water, ground","torrent, damp",70,85,70,60,70,50
260,swampert,https://pokeapi.co/api/v2/pokemon/260/,"water, ground","torrent, damp",100,110,90,85,90,60
261,poochyena,https://pokeapi.co/api/v2/pokemon/261/,dark,"run-away, quick-feet, rattled",35,55,35,30,30,35
262,mightyena,https://pokeapi.co/api/v2/pokemon/262/,dark,"intimidate, quick-feet, moxie",70,90,70,60,60,70
263,zigzagoon,https://pokeapi.co/api/v2/pokemon/263/,normal,"pickup, gluttony, quick-feet",38,30,41,30,41,60
264,linoone,https://pokeapi.co/api/v2/pokemon/264/,normal,"pickup, gluttony, quick-feet",78,70,61,50,61,100
265,wurmple,https://pokeapi.co/api/v2/pokemon/265/,bug,"shield-dust, run-away",45,45,35,20,30,20
266,silcoon,https://pokeapi.co/api/v2/pokemon/266/,bug,shed-skin,50,35,55,25,25,15
267,beautifly,https://pokeapi.co/api/v2/pokemon/267/,"bug, flying","swarm, rivalry",60,70,50,100,50,65
268,cascoon,https://pokeapi.co/api/v2/pokemon/268/,bug,shed-skin,50,35,55,25,25,15
269,dustox,https://pokeapi.co/api/v2/pokemon/269/,"bug, poison","shield-dust, compound-eyes",60,50,70,50,90,65
270,lotad,https://pokeapi.co/api/v2/pokemon/270/,"water, grass","swift-swim, rain-dish, own-tempo",40,30,30,40,50,30
271,lombre,https://pokeapi.co/api/v2/pokemon/271/,"water, grass","swift-swim, rain-dish, own-tempo",60,50,50,60,70,50
272,ludicolo,https://pokeapi.co/api/v2/pokemon/272/,"water, grass","swift-swim, rain-dish, own-tempo",80,70,70,90,100,70
273,seedot,https://pokeapi.co/api/v2/pokemon/273/,grass,"chlorophyll, early-bird, pickpocket",40,40,50,30,30,30
274,nuzleaf,https://pokeapi.co/api/v2/pokemon/274/,"grass, dark","chlorophyll, early-bird, pickpocket",70,70,40,60,40,60
275,shiftry,https://pokeapi.co/api/v2/pokemon/275/,"grass, dark","chlorophyll, early-bird, pickpocket",90,100,60,90,60,80
276,taillow,https://pokeapi.co/api/v2/pokemon/276/,"normal, flying","guts, scrappy",40,55,30,30,30,85
277,swellow,https://pokeapi.co/api/v2/pokemon/277/,"normal, flying","guts, scrappy",60,85,60,75,50,125
278,wingull,https://pokeapi.co/api/v2/pokemon/278/,"water, flying","keen-eye, hydration, rain-dish",40,30,30,55,30,85
279,pelipper,https://pokeapi.co/api/v2/pokemon/279/,"water, flying","keen-eye, drizzle, rain-dish",60,50,100,95,70,65
280,ralts,https://pokeapi.co/api/v2/pokemon/280/,"psychic, fairy","synchronize, trace, telepathy",28,25,25,45,35,40
281,kirlia,https://pokeapi.co/api/v2/pokemon/281/,"psychic, fairy","synchronize, trace, telepathy",38,35,35,65,55,50
282,gardevoir,https://pokeapi.co/api/v2/pokemon/282/,"psychic, fairy","synchronize, trace, telepathy",68,65,65,125,115,80
283,surskit,https://pokeapi.co/api/v2/pokemon/283/,"bug, water","swift-swim, rain-dish",40,30,32,50,52,65
284,masquerain,https://pokeapi.co/api/v2/pokemon/284/,"bug, flying","intimidate, unnerve",70,60,62,100,82,80
285,shroomish,https://pokeapi.co/api/v2/pokemon/285/,grass,"effect-spore, poison-heal, quick-feet",60,40,60,40,60,35
286,breloom,https://pokeapi.co/api/v2/pokemon/286/,"grass, fighting","effect-spore, poison-heal, technician",60,130,80,60,60,70
287,slakoth,https://pokeapi.co/api/v2/pokemon/287/,normal,truant,60,60,60,35,35,30
288,vigoroth,https://pokeapi.co/api/v2/pokemon/288/,normal,vital-spirit,80,80,80,55,55,90
289,slaking,https://pokeapi.co/api/v2/pokemon/289/,normal,truant,150,160,100,95,65,100
290,nincada,https://pokeapi.co/api/v2/pokemon/290/,"bug, ground","compound-eyes, run-away",31,45,90,30,30,40
291,ninjask,https://pokeapi.co/api/v2/pokemon/291/,"bug, flying","speed-boost, infiltrator",61,90,45,50,50,160
292,shedinja,https://pokeapi.co/api/v2/pokemon/292/,"bug, ghost",wonder-guard,1,90,45,30,30,40
293,whismur,https://pokeapi.co/api/v2/pokemon/293/,normal,"soundproof, rattled",64,51,23,51,23,28
294,loudred,https://pokeapi.co/api/v2/pokemon/294/,normal,"soundproof, scrappy",84,71,43,71,43,48
295,exploud,https://pokeapi.co/api/v2/pokemon/295/,normal,"soundproof, scrappy",104,91,63,91,73,68
296,makuhita,https://pokeapi.co/api/v2/pokemon/296/,fighting,"thick-fat, guts, sheer-force",72,60,30,20,30,25
297,hariyama,https://pokeapi.co/api/v2/pokemon/297/,fighting,"thick-fat, guts, sheer-force",144,120,60,40,60,50
298,azurill,https://pokeapi.co/api/v2/pokemon/298/,"normal, fairy","thick-fat, huge-power, sap-sipper",50,20,40,20,40,20
299,nosepass,https://pokeapi.co/api/v2/pokemon/299/,rock,"sturdy, magnet-pull, sand-force",30,45,135,45,90,30
300,skitty,https://pokeapi.co/api/v2/pokemon/300/,normal,"cute-charm, normalize, wonder-skin",50,45,45,35,35,50
301,delcatty,https://pokeapi.co/api/v2/pokemon/301/,normal,"cute-charm, normalize, wonder-skin",70,65,65,55,55,90
302,sableye,https://pokeapi.co/api/v2/pokemon/302/,"dark, ghost","keen-eye, stall, prankster",50,75,75,65,65,50
303,mawile,https://pokeapi.co/api/v2/pokemon/303/,"steel, fairy","hyper-cutter, intimidate, sheer-force",50,85,85,55,55,50
304,aron,https://pokeapi.co/api/v2/pokemon/304/,"steel, rock","sturdy, rock-head, heavy-metal",50,70,100,40,40,30
305,lairon,https://pokeapi.co/api/v2/pokemon/305/,"steel, rock","sturdy, rock-head, heavy-metal",60,90,140,50,50,40
306,aggron,https://pokeapi.co/api/v2/pokemon/306/,"steel, rock","sturdy, rock-head, heavy-metal",70,110,180,60,60,50
307,meditite,https://pokeapi.co/api/v2/pokemon/307/,"fighting, psychic","pure-power, telepathy",30,40,55,40,55,60
308,medicham,https://pokeapi.co/api/v2/pokemon/308/,"fighting, psychic","pure-power, telepathy",60,60,75,60,75,80
309,electrike,https://pokeapi.co/api/v2/pokemon/309/,electric,"static, lightning-rod, minus",40,45,40,65,40,65
310,manectric,https://pokeapi.co/api/v2/pokemon/310/,electric,"static, lightning-rod, minus",70,75,60,105,60,105
311,plusle,https://pokeapi.co/api/v2/pokemon/311/,electric,"plus, lightning-rod",60,50,40,85,75,95
312,minun,https://pokeapi.co/api/v2/pokemon/312/,electric,"minus, volt-absorb",60,40,50,75,85,95
313,volbeat,https://pokeapi.co/api/v2/pokemon/313/,bug,"illuminate, swarm, prankster",65,73,75,47,85,85
314,illumise,https://pokeapi.co/api/v2/pokemon/314/,bug,"oblivious, tinted-lens, prankster",65,47,75,73,85,85
315,roselia,https://pokeapi.co/api/v2/pokemon/315/,"grass, poison","natural-cure, poison-point, leaf-guard",50,60,45,100,80,65
316,gulpin,https://pokeapi.co/api/v2/pokemon/316/,poison,"liquid-ooze, sticky-hold, gluttony",70,43,53,43,53,40
317,swalot,https://pokeapi.co/api/v2/pokemon/317/,poison,"liquid-ooze, sticky-hold, gluttony",100,73,83,73,83,55
318,carvanha,https://pokeapi.co/api/v2/pokemon/318/,"water, dark","rough-skin, speed-boost",45,90,20,65,20,65
319,sharpedo,https://pokeapi.co/api/v2/pokemon/319/,"water, dark","rough-skin, speed-boost",70,120,40,95,40,95
320,wailmer,https://pokeapi.co/api/v2/pokemon/320/,water,"water-veil, oblivious, pressure",130,70,35,70,35,60
321,wailord,https://pokeapi.co/api/v2/pokemon/321/,water,"water-veil, oblivious, pressure",170,90,45,90,45,60
322,numel,https://pokeapi.co/api/v2/pokemon/322/,"fire, ground","oblivious, simple, own-tempo",60,60,40,65,45,35
323,camerupt,https://pokeapi.co/api/v2/pokemon/323/,"fire, ground","magma-armor, solid-rock, anger-point",70,100,70,105,75,40
324,torkoal,https://pokeapi.co/api/v2/pokemon/324/,fire,"white-smoke, drought, shell-armor",70,85,140,85,70,20
325,spoink,https://pokeapi.co/api/v2/pokemon/325/,psychic,"thick-fat, own-tempo, gluttony",60,25,35,70,80,60
326,grumpig,https://pokeapi.co/api/v2/pokemon/326/,psychic,"thick-fat, own-tempo, gluttony",80,45,65,90,110,80
327,spinda,https://pokeapi.co/api/v2/pokemon/327/,normal,"own-tempo, tangled-feet, contrary",60,60,60,60,60,60
328,trapinch,https://pokeapi.co/api/v2/pokemon/328/,ground,"hyper-cutter, arena-trap, sheer-force",45,100,45,45,45,10
329,vibrava,https://pokeapi.co/api/v2/pokemon/329/,"ground, dragon",levitate,50,70,50,50,50,70
330,flygon,https://pokeapi.co/api/v2/pokemon/330/,"ground, dragon",levitate,80,100,80,80,80,100
331,cacnea,https://pokeapi.co/api/v2/pokemon/331/,grass,"sand-veil, water-absorb",50,85,40,85,40,35
332,cacturne,https://pokeapi.co/api/v2/pokemon/332/,"grass, dark","sand-veil, water-absorb",70,115,60,115,60,55
333,swablu,https://pokeapi.co/api/v2/pokemon/333/,"normal, flying","natural-cure, cloud-nine",45,40,60,40,75,50
334,altaria,https://pokeapi.co/api/v2/pokemon/334/,"dragon, flying","natural-cure, cloud-nine",75,70,90,70,105,80
335,zangoose,https://pokeapi.co/api/v2/pokemon/335/,normal,"immunity, toxic-boost",73,115,60,60,60,90
336,seviper,https://pokeapi.co/api/v2/pokemon/336/,poison,"shed-skin, infiltrator",73,100,60,100,60,65
337,lunatone,https://pokeapi.co/api/v2/pokemon/337/,"rock, psychic",levitate,90,55,65,95,85,70
338,solrock,https://pokeapi.co/api/v2/pokemon/338/,"rock, psychic",levitate,90,95,85,55,65,70
339,barboach,https://pokeapi.co/api/v2/pokemon/339/,"water, ground","oblivious, anticipation, hydration",50,48,43,46,41,60
340,whiscash,https://pokeapi.co/api/v2/pokemon/340/,"water, ground","oblivious, anticipation, hydration",110,78,73,76,71,60
341,corphish,https://pokeapi.co/api/v2/pokemon/341/,water,"hyper-cutter, shell-armor, adaptability",43,80,65,50,35,35
342,crawdaunt,https://pokeapi.co/api/v2/pokemon/342/,"water, dark","hyper-cutter, shell-armor, adaptability",63,120,85,90,55,55
343,baltoy,https://pokeapi.co/api/v2/pokemon/343/,"ground, psychic",levitate,40,40,55,40,70,55
344,claydol,https://pokeapi.co/api/v2/pokemon/344/,"ground, psychic",levitate,60,70,105,70,120,75
345,lileep,https://pokeapi.co/api/v2/pokemon/345/,"rock, grass","suction-cups, storm-drain",66,41,77,61,87,23
346,cradily,https://pokeapi.co/api/v2/pokemon/346/,"rock, grass","suction-cups, storm-drain",86,81,97,81,107,43
347,anorith,https://pokeapi.co/api/v2/pokemon/347/,"rock, bug","battle-armor, swift-swim",45,95,50,40,50,75
348,armaldo,https://pokeapi.co/api/v2/pokemon/348/,"rock, bug","battle-armor, swift-swim",75,125,100,70,80,45
349,feebas,https://pokeapi.co/api/v2/pokemon/349/,water,"swift-swim, oblivious, adaptability",20,15,20,10,55,80
350,milotic,https://pokeapi.co/api/v2/pokemon/350/,water,"marvel-scale, competitive, cute-charm",95,60,79,100,125,81
351,castform,https://pokeapi.co/api/v2/pokemon/351/,normal,forecast,70,70,70,70,70,70
352,kecleon,https://pokeapi.co/api/v2/pokemon/352/,normal,"color-change, protean",60,90,70,60,120,40
353,shuppet,https://pokeapi.co/api/v2/pokemon/353/,ghost,"insomnia, frisk, cursed-body",44,75,35,63,33,45
354,banette,https://pokeapi.co/api/v2/pokemon/354/,ghost,"insomnia, frisk, cursed-body",64,115,65,83,63,65
355,duskull,https://pokeapi.co/api/v2/pokemon/355/,ghost,"levitate, frisk",20,40,90,30,90,25
356,dusclops,https://pokeapi.co/api/v2/pokemon/356/,ghost,"pressure, frisk",40,70,130,60,130,25
357,tropius,https://pokeapi.co/api/v2/pokemon/357/,"grass, flying","chlorophyll, solar-power, harvest",99,68,83,72,87,51
358,chimecho,https://pokeapi.co/api/v2/pokemon/358/,psychic,levitate,75,50,80,95,90,65
359,absol,https://pokeapi.co/api/v2/pokemon/359/,dark,"pressure, super-luck, justified",65,130,60,75,60,75
360,wynaut,https://pokeapi.co/api/v2/pokemon/360/,psychic,"shadow-tag, telepathy",95,23,48,23,48,23
361,snorunt,https://pokeapi.co/api/v2/pokemon/361/,ice,"inner-focus, ice-body, moody",50,50,50,50,50,50
362,glalie,https://pokeapi.co/api/v2/pokemon/362/,ice,"inner-focus, ice-body, moody",80,80,80,80,80,80
363,spheal,https://pokeapi.co/api/v2/pokemon/363/,"ice, water","thick-fat, ice-body, oblivious",70,40,50,55,50,25
364,sealeo,https://pokeapi.co/api/v2/pokemon/364/,"ice, water","thick-fat, ice-body, oblivious",90,60,70,75,70,45
365,walrein,https://pokeapi.co/api/v2/pokemon/365/,"ice, water","thick-fat, ice-body, oblivious",110,80,90,95,90,65
366,clamperl,https://pokeapi.co/api/v2/pokemon/366/,water,"shell-armor, rattled",35,64,85,74,55,32
367,huntail,https://pokeapi.co/api/v2/pokemon/367/,water,"swift-swim, water-veil",55,104,105,94,75,52
368,gorebyss,https://pokeapi.co/api/v2/pokemon/368/,water,"swift-swim, hydration",55,84,105,114,75,52
369,relicanth,https://pokeapi.co/api/v2/pokemon/369/,"water, rock","swift-swim, rock-head, sturdy",100,90,130,45,65,55
370,luvdisc,https://pokeapi.co/api/v2/pokemon/370/,water,"swift-swim, hydration",43,30,55,40,65,97
371,bagon,https://pokeapi.co/api/v2/pokemon/371/,dragon,"rock-head, sheer-force",45,75,60,40,30,50
372,shelgon,https://pokeapi.co/api/v2/pokemon/372/,dragon,"rock-head, overcoat",65,95,100,60,50,50
373,salamence,https://pokeapi.co/api/v2/pokemon/373/,"dragon, flying","intimidate, moxie",95,135,80,110,80,100
374,beldum,https://pokeapi.co/api/v2/pokemon/374/,"steel, psychic","clear-body, light-metal",40,55,80,35,60,30
375,metang,https://pokeapi.co/api/v2/pokemon/375/,"steel, psychic","clear-body, light-metal",60,75,100,55,80,50
376,metagross,https://pokeapi.co/api/v2/pokemon/376/,"steel, psychic","clear-body, light-metal",80,135,130,95,90,70
377,regirock,https://pokeapi.co/api/v2/pokemon/377/,rock,"clear-body, sturdy",80,100,200,50,100,50
378,regice,https://pokeapi.co/api/v2/pokemon/378/,ice,"clear-body, ice-body",80,50,100,100,200,50
379,registeel,https://pokeapi.co/api/v2/pokemon/379/,steel,"clear-body, light-metal",80,75,150,75,150,50
380,latias,https://pokeapi.co/api/v2/pokemon/380/,"dragon, psychic",levitate,80,80,90,110,130,110
381,latios,https://pokeapi.co/api/v2/pokemon/381/,"dragon, psychic",levitate,80,90,80,130,110,110
382,kyogre,https://pokeapi.co/api/v2/pokemon/382/,water,drizzle,100,100,90,150,140,90
383,groudon,https://pokeapi.co/api/v2/pokemon/383/,ground,drought,100,150,140,100,90,90
384,rayquaza,https://pokeapi.co/api/v2/pokemon/384/,"dragon, flying",air-lock,105,150,90,150,90,95
385,jirachi,https://pokeapi.co/api/v2/pokemon/385/,"steel, psychic",serene-grace,100,100,100,100,100,100
386,deoxys-normal,https://pokeapi.co/api/v2/pokemon/386/,psychic,pressure,50,150,50,150,50,150
387,turtwig,https://pokeapi.co/api/v2/pokemon/387/,grass,"overgrow, shell-armor",55,68,64,45,55,31
388,grotle,https://pokeapi.co/api/v2/pokemon/388/,grass,"overgrow, shell-armor",75,89,85,55,65,36
389,torterra,https://pokeapi.co/api/v2/pokemon/389/,"grass, ground","overgrow, shell-armor",95,109,105,75,85,56
390,chimchar,https://pokeapi.co/api/v2/pokemon/390/,fire,"blaze, iron-fist",44,58,44,58,44,61
391,monferno,https://pokeapi.co/api/v2/pokemon/391/,"fire, fighting","blaze, iron-fist",64,78,52,78,52,81
392,infernape,https://pokeapi.co/api/v2/pokemon/392/,"fire, fighting","blaze, iron-fist",76,104,71,104,71,108
393,piplup,https://pokeapi.co/api/v2/pokemon/393/,water,"torrent, defiant",53,51,53,61,56,40
394,prinplup,https://pokeapi.co/api/v2/pokemon/394/,water,"torrent, defiant",64,66,68,81,76,50
395,empoleon,https://pokeapi.co/api/v2/pokemon/395/,"water, steel","torrent, defiant",84,86,88,111,101,60
396,starly,https://pokeapi.co/api/v2/pokemon/396/,"normal, flying","keen-eye, reckless",40,55,30,30,30,60
397,staravia,https://pokeapi.co/api/v2/pokemon/397/,"normal, flying","intimidate, reckless",55,75,50,40,40,80
398,staraptor,https://pokeapi.co/api/v2/pokemon/398/,"normal, flying","intimidate, reckless",85,120,70,50,60,100
399,bidoof,https://pokeapi.co/api/v2/pokemon/399/,normal,"simple, unaware, moody",59,45,40,35,40,31
400,bibarel,https://pokeapi.co/api/v2/pokemon/400/,"normal, water","simple, unaware, moody",79,85,60,55,60,71
401,kricketot,https://pokeapi.co/api/v2/pokemon/401/,bug,"shed-skin, run-away",37,25,41,25,41,25
402,kricketune,https://pokeapi.co/api/v2/pokemon/402/,bug,"swarm, technician",77,85,51,55,51,65
403,shinx,https://pokeapi.co/api/v2/pokemon/403/,electric,"rivalry, intimidate, guts",45,65,34,40,34,45
404,luxio,https://pokeapi.co/api/v2/pokemon/404/,electric,"rivalry, intimidate, guts",60,85,49,60,49,60
405,luxray,https://pokeapi.co/api/v2/pokemon/405/,electric,"rivalry, intimidate, guts",80,120,79,95,79,70
406,budew,https://pokeapi.co/api/v2/pokemon/406/,"grass, poison","natural-cure, poison-point, leaf-guard",40,30,35,50,70,55
407,roserade,https://pokeapi.co/api/v2/pokemon/407/,"grass, poison","natural-cure, poison-point, technician",60,70,65,125,105,90
408,cranidos,https://pokeapi.co/api/v2/pokemon/408/,rock,"mold-breaker, sheer-force",67,125,40,30,30,58
409,rampardos,https://pokeapi.co/api/v2/pokemon/409/,rock,"mold-breaker, sheer-force",97,165,60,65,50,58
410,shieldon,https://pokeapi.co/api/v2/pokemon/410/,"rock, steel","sturdy, soundproof",30,42,118,42,88,30
411,bastiodon,https://pokeapi.co/api/v2/pokemon/411/,"rock, steel","sturdy, soundproof",60,52,168,47,138,30
412,burmy,https://pokeapi.co/api/v2/pokemon/412/,bug,"shed-skin, overcoat",40,29,45,29,45,36
413,wormadam-plant,https://pokeapi.co/api/v2/pokemon/413/,"bug, grass","anticipation, overcoat",60,59,85,79,105,36
414,mothim,https://pokeapi.co/api/v2/pokemon/414/,"bug, flying","swarm, tinted-lens",70,94,50,94,50,66
415,combee,https://pokeapi.co/api/v2/pokemon/415/,"bug, flying","honey-gather, hustle",30,30,42,30,42,70
416,vespiquen,https://pokeapi.co/api/v2/pokemon/416/,"bug, flying","pressure, unnerve",70,80,102,80,102,40
417,pachirisu,https://pokeapi.co/api/v2/pokemon/417/,electric,"run-away, pickup, volt-absorb",60,45,70,45,90,95
418,buizel,https://pokeapi.co/api/v2/pokemon/418/,water,"swift-swim, water-veil",55,65,35,60,30,85
419,floatzel,https://pokeapi.co/api/v2/pokemon/419/,water,"swift-swim, water-veil",85,105,55,85,50,115
420,cherubi,https://pokeapi.co/api/v2/pokemon/420/,grass,chlorophyll,45,35,45,62,53,35
421,cherrim,https://pokeapi.co/api/v2/pokemon/421/,grass,flower-gift,70,60,70,87,78,85
422,shellos,https://pokeapi.co/api/v2/pokemon/422/,water,"sticky-hold, storm-drain, sand-force",76,48,48,57,62,34
423,gastrodon,https://pokeapi.co/api/v2/pokemon/423/,"water, ground","sticky-hold, storm-drain, sand-force",111,83,68,92,82,39
424,ambipom,https://pokeapi.co/api/v2/pokemon/424/,normal,"technician, pickup, skill-link",75,100,66,60,66,115
425,drifloon,https://pokeapi.co/api/v2/pokemon/425/,"ghost, flying","aftermath, unburden, flare-boost",90,50,34,60,44,70
426,drifblim,https://pokeapi.co/api/v2/pokemon/426/,"ghost, flying","aftermath, unburden, flare-boost",150,80,44,90,54,80
427,buneary,https://pokeapi.co/api/v2/pokemon/427/,normal,"run-away, klutz, limber",55,66,44,44,56,85
428,lopunny,https://pokeapi.co/api/v2/pokemon/428/,normal,"cute-charm, klutz, limber",65,76,84,54,96,105
429,mismagius,https://pokeapi.co/api/v2/pokemon/429/,ghost,levitate,60,60,60,105,105,105
430,honchkrow,https://pokeapi.co/api/v2/pokemon/430/,"dark, flying","insomnia, super-luck, moxie",100,125,52,105,52,71
431,glameow,https://pokeapi.co/api/v2/pokemon/431/,normal,"limber, own-tempo, keen-eye",49,55,42,42,37,85
432,purugly,https://pokeapi.co/api/v2/pokemon/432/,normal,"thick-fat, own-tempo, defiant",71,82,64,64,59,112
433,chingling,https://pokeapi.co/api/v2/pokemon/433/,psychic,levitate,45,30,50,65,50,45
434,stunky,https://pokeapi.co/api/v2/pokemon/434/,"poison, dark","stench, aftermath, keen-eye",63,63,47,41,41,74
435,skuntank,https://pokeapi.co/api/v2/pokemon/435/,"poison, dark","stench, aftermath, keen-eye",103,93,67,71,61,84
436,bronzor,https://pokeapi.co/api/v2/pokemon/436/,"steel, psychic","levitate, heatproof, heavy-metal",57,24,86,24,86,23
437,bronzong,https://pokeapi.co/api/v2/pokemon/437/,"steel, psychic","levitate, heatproof, heavy-metal",67,89,116,79,116,33
438,bonsly,https://pokeapi.co/api/v2/pokemon/438/,rock,"sturdy, rock-head, rattled",50,80,95,10,45,10
439,mime-jr,https://pokeapi.co/api/v2/pokemon/439/,"psychic, fairy","soundproof, filter, technician",20,25,45,70,90,60
440,happiny,https://pokeapi.co/api/v2/pokemon/440/,normal,"natural-cure, serene-grace, friend-guard",100,5,5,15,65,30
441,chatot,https://pokeapi.co/api/v2/pokemon/441/,"normal, flying","keen-eye, tangled-feet, big-pecks",76,65,45,92,42,91
442,spiritomb,https://pokeapi.co/api/v2/pokemon/442/,"ghost, dark","pressure, infiltrator",50,92,108,92,108,35
443,gible,https://pokeapi.co/api/v2/pokemon/443/,"dragon, ground","sand-veil, rough-skin",58,70,45,40,45,42
444,gabite,https://pokeapi.co/api/v2/pokemon/444/,"dragon, ground","sand-veil, rough-skin",68,90,65,50,55,82
445,garchomp,https://pokeapi.co/api/v2/pokemon/445/,"dragon, ground","sand-veil, rough-skin",108,130,95,80,85,102
446,munchlax,https://pokeapi.co/api/v2/pokemon/446/,normal,"pickup, thick-fat, gluttony",135,85,40,40,85,5
447,riolu,https://pokeapi.co/api/v2/pokemon/447/,fighting,"steadfast, inner-focus, prankster",40,70,40,35,40,60
448,lucario,https://pokeapi.co/api/v2/pokemon/448/,"fighting, steel","steadfast, inner-focus, justified",70,110,70,115,70,90
449,hippopotas,https://pokeapi.co/api/v2/pokemon/449/,ground,"sand-stream, sand-force",68,72,78,38,42,32
450,hippowdon,https://pokeapi.co/api/v2/pokemon/450/,ground,"sand-stream, sand-force",108,112,118,68,72,47
451,skorupi,https://pokeapi.co/api/v2/pokemon/451/,"poison, bug","battle-armor, sniper, keen-eye",40,50,90,30,55,65
452,drapion,https://pokeapi.co/api/v2/pokemon/452/,"poison, dark","battle-armor, sniper, keen-eye",70,90,110,60,75,95
453,croagunk,https://pokeapi.co/api/v2/pokemon/453/,"poison, fighting","anticipation, dry-skin, poison-touch",48,61,40,61,40,50
454,toxicroak,https://pokeapi.co/api/v2/pokemon/454/,"poison, fighting","anticipation, dry-skin, poison-touch",83,106,65,86,65,85
455,carnivine,https://pokeapi.co/api/v2/pokemon/455/,grass,levitate,74,100,72,90,72,46
456,finneon,https://pokeapi.co/api/v2/pokemon/456/,water,"swift-swim, storm-drain, water-veil",49,49,56,49,61,66
457,lumineon,https://pokeapi.co/api/v2/pokemon/457/,water,"swift-swim, storm-drain, water-veil",69,69,76,69,86,91
458,mantyke,https://pokeapi.co/api/v2/pokemon/458/,"water, flying","swift-swim, water-absorb, water-veil",45,20,50,60,120,50
459,snover,https://pokeapi.co/api/v2/pokemon/459/,"grass, ice","snow-warning, soundproof",60,62,50,62,60,40
460,abomasnow,https://pokeapi.co/api/v2/pokemon/460/,"grass, ice","snow-warning, soundproof",90,92,75,92,85,60
461,weavile,https://pokeapi.co/api/v2/pokemon/461/,"dark, ice","pressure, pickpocket",70,120,65,45,85,125
462,magnezone,https://pokeapi.co/api/v2/pokemon/462/,"electric, steel","magnet-pull, sturdy, analytic",70,70,115,130,90,60
463,lickilicky,https://pokeapi.co/api/v2/pokemon/463/,normal,"own-tempo, oblivious, cloud-nine",110,85,95,80,95,50
464,rhyperior,https://pokeapi.co/api/v2/pokemon/464/,"ground, rock","lightning-rod, solid-rock, reckless",115,140,130,55,55,40
